key,value,date
Lebanon,1078338,9/1/2015
Lebanon,1099343,10/1/2015
Turkey,9500,1/1/2012
Turkey,10658,2/1/2012
Turkey,18955,3/1/2012
Turkey,29082,4/1/2012
Turkey,28517,5/1/2012
Turkey,38784,6/1/2012
Turkey,49893,7/1/2012
Turkey,89223,8/1/2012
Turkey,102050,9/1/2012
Turkey,116794,10/1/2012
Turkey,138579,11/1/2012
Turkey,170912,12/1/2012
Turkey,192095,1/1/2013
Turkey,213840,2/1/2013
Turkey,259890,3/1/2013
Turkey,312793,4/1/2013
Turkey,373792,5/1/2013
Turkey,406290,6/1/2013
Turkey,442635,7/1/2013
Turkey,474161,8/1/2013
Turkey,521437,9/1/2013
Turkey,540268,10/1/2013
Turkey,570479,11/1/2013
Turkey,560129,12/1/2013
Turkey,580756,1/1/2014
Turkey,624308,2/1/2014
Turkey,667496,3/1/2014
Turkey,735864,4/1/2014
Turkey,761171,5/1/2014
Turkey,795442,6/1/2014
Turkey,815413,7/1/2014
Turkey,832508,8/1/2014
Turkey,869500,9/1/2014
Turkey,963540,10/1/2014
Turkey,1060279,11/1/2014
Turkey,1552839,12/1/2014
Turkey,1698472,1/1/2015
Turkey,1718147,2/1/2015
Turkey,1741374,3/1/2015
Turkey,1759546,4/1/2015
Turkey,1761486,5/1/2015
Turkey,1772535,6/1/2015
Turkey,1805255,7/1/2015
Turkey,1938999,8/1/2015
Turkey,1995612,9/1/2015
Turkey,2072290,10/1/2015
